path,writer_id,sample_id,label,split
signatures/full_forg/forgeries_1_1.png,1,1,forgery,train
signatures/full_forg/forgeries_1_2.png,1,2,forgery,train
signatures/full_forg/forgeries_1_3.png,1,3,forgery,train
signatures/full_forg/forgeries_1_4.png,1,4,forgery,train
signatures/full_forg/forgeries_1_5.png,1,5,forgery,train
signatures/full_forg/forgeries_1_6.png,1,6,forgery,train
signatures/full_forg/forgeries_1_7.png,1,7,forgery,train
signatures/full_forg/forgeries_1_8.png,1,8,forgery,train
signatures/full_forg/forgeries_1_9.png,1,9,forgery,train
signatures/full_forg/forgeries_1_10.png,1,10,forgery,train
signatures/full_forg/forgeries_1_11.png,1,11,forgery,train
signatures/full_forg/forgeries_1_12.png,1,12,forgery,train
signatures/full_forg/forgeries_1_13.png,1,13,forgery,train
signatures/full_forg/forgeries_1_14.png,1,14,forgery,train
signatures/full_forg/forgeries_1_15.png,1,15,forgery,train
signatures/full_forg/forgeries_1_16.png,1,16,forgery,train
signatures/full_forg/forgeries_1_17.png,1,17,forgery,train
signatures/full_forg/forgeries_1_18.png,1,18,forgery,train
signatures/full_forg/forgeries_1_19.png,1,19,forgery,train
signatures/full_forg/forgeries_1_20.png,1,20,forgery,train
signatures/full_forg/forgeries_1_21.png,1,21,forgery,train
signatures/full_forg/forgeries_1_22.png,1,22,forgery,train
signatures/full_forg/forgeries_1_23.png,1,23,forgery,train
signatures/full_forg/forgeries_1_24.png,1,24,forgery,train
signatures/full_org/original_1_1.png,1,1,genuine,train
signatures/full_org/original_1_2.png,1,2,genuine,train
signatures/full_org/original_1_3.png,1,3,genuine,train
signatures/full_org/original_1_4.png,1,4,genuine,train
signatures/full_org/original_1_5.png,1,5,genuine,train
signatures/full_org/original_1_6.png,1,6,genuine,train
signatures/full_org/original_1_7.png,1,7,genuine,train
signatures/full_org/original_1_8.png,1,8,genuine,train
signatures/full_org/original_1_9.png,1,9,genuine,train
signatures/full_org/original_1_10.png,1,10,genuine,train
signatures/full_org/original_1_11.png,1,11,genuine,train
signatures/full_org/original_1_12.png,1,12,genuine,train
signatures/full_org/original_1_13.png,1,13,genuine,train
signatures/full_org/original_1_14.png,1,14,genuine,train
signatures/full_org/original_1_15.png,1,15,genuine,train
signatures/full_org/original_1_16.png,1,16,genuine,train
signatures/full_org/original_1_17.png,1,17,genuine,train
signatures/full_org/original_1_18.png,1,18,genuine,train
signatures/full_org/original_1_19.png,1,19,genuine,train
signatures/full_org/original_1_20.png,1,20,genuine,train
signatures/full_org/original_1_21.png,1,21,genuine,train
signatures/full_org/original_1_22.png,1,22,genuine,train
signatures/full_org/original_1_23.png,1,23,genuine,train
signatures/full_org/original_1_24.png,1,24,genuine,train
