epoch,train_loss,val_loss,auc,eer
1,0.1422852863887833,0.3637420711734078,0.9616628099173554,0.12727272727272726
2,0.016673099246214736,0.10883877315304497,0.9970247933884298,0.03272727272727273
3,0.009617291735379363,0.020347951339049774,0.9999999999999999,0.0
4,0.00432391033005181,0.1374681770259684,0.9934611570247933,0.05454545454545454
5,0.007377144916258244,0.4153893246433952,0.9746049586776859,0.08454545454545453
6,0.002790679689801023,0.12552473041144285,0.9960462809917355,0.04
7,0.0019005950566100762,0.09798587316816504,0.9966214876033058,0.03727272727272728
8,0.0015291677940695082,0.1967100631648844,0.9929586776859505,0.05181818181818182
9,0.009781099767248882,0.15785376489162445,0.9956760330578511,0.023636363636363636
10,0.010501926524573884,0.10010754754597491,1.0,0.0
11,0.0005501589913315415,0.12416782927784052,0.9988628099173553,0.022727272727272728
12,0.00028675699429930483,0.09719080351293087,0.999699173553719,0.01090909090909091
13,0.009056558921782363,0.03664163082838059,1.0,0.0
14,0.0011719697364738254,0.056797330271114,0.9992892561983472,0.012727272727272728
15,0.0009296643219534995,0.25736112063581296,0.9902214876033056,0.06090909090909091
16,0.0009849948771741104,0.050701418817043306,0.9998710743801653,0.00909090909090909
17,0.00015369905581213639,0.022978168421170928,0.999996694214876,0.0018181818181818182
18,0.0033216392612567605,0.19317863084375858,0.9994578512396695,0.00909090909090909
19,0.011449099359448486,0.2118748312104832,0.9707636363636364,0.09181818181818183
20,0.0013473669155527287,0.1009579855745489,0.9970578512396694,0.023636363636363636
