epoch,train_loss,val_loss,auc,eer
1,0.12185512039895084,0.16071701504967428,0.9852264462809917,0.04818181818181818
2,0.013894318150441077,0.4765081885727969,0.9500561983471073,0.1527272727272727
3,0.006575030478680591,0.15676187897270377,0.9937024793388429,0.045454545454545456
4,0.010311060419454324,0.7407189219648188,0.9112,0.21181818181818182
5,0.0025161066722251815,0.14452134993943302,0.995705785123967,0.026363636363636363
6,0.0016375239472836256,0.5266500959613106,0.9272132231404959,0.1763636363636364
7,0.001308371320903296,0.07810519256375052,0.9997719008264462,0.005454545454545455
8,0.00697037008131288,0.40734738263216885,0.9004958677685951,0.16999999999999998
9,0.00012764729146676307,0.22626462264494462,0.9675471074380165,0.10909090909090909
10,0.0005878255374525245,0.33224438385529953,0.9873256198347108,0.053636363636363635
11,0.002410396860313168,0.570997299822894,0.8891305785123966,0.16818181818181818
12,0.007967072345719233,0.12919210043820467,0.9950049586776858,0.04181818181818182
13,0.0013548251494913447,0.18707990884780884,0.9902710743801654,0.056363636363636366
14,0.0001332690152610832,0.31379938732494006,0.9775768595041323,0.08181818181818182
15,0.004113292977186079,0.2625071833350442,0.9751305785123967,0.08454545454545453
16,0.0003665779054195313,0.22315567200834102,0.9845785123966942,0.06727272727272728
17,0.00014167174328990354,0.2587786429578608,0.9810347107438016,0.06818181818181818
18,0.0036198163912252892,0.037398141040043395,0.9999471074380166,0.0036363636363636364
19,0.004748306978507654,0.12489245341582732,0.9924396694214876,0.04181818181818182
20,0.0001497478513597757,0.08607283294200897,0.9961785123966942,0.03272727272727273
